(52,'8BicYkycoRs','none','Cable Front Raise (standing)',1,1,1,11,NULL,5,0,0,0,0,'2009-11-25 11:54:41','Wednesday',1,NULL,NULL,NULL),
(650,'chUrFY3DFmI',NULL,'Barbell Front Raise',NULL,1,1,11,NULL,5,1,NULL,0,0,'2010-01-11 03:36:03','Monday',NULL,51,NULL,NULL),
(54,'krOAInv9ywQ','none','Upright Row',1,1,1,29,NULL,5,1,0,0,0,'2009-12-16 06:03:00','Wednesday',1,NULL,NULL,NULL),
(55,'qSKLoNRx66w','none','Cable Upright Row',1,1,1,29,NULL,5,1,0,0,0,'2011-07-09 12:05:52','Saturday',1,54,NULL,NULL),
(56,'I5sQhqUII50','none','Dumbbell Shoulder Press',1,1,1,11,NULL,5,1,0,0,0,'2009-12-15 16:28:10','Tuesday',1,NULL,NULL,NULL),
(57,'nMr83wYqx4A','none','Machine Shoulder Press',1,1,1,11,NULL,5,1,0,0,0,'2010-01-18 12:38:05','Monday',1,NULL,NULL,NULL),
(58,'AwDgJCJ6xEc','none','Hammer Strength Shoulder Press',1,1,1,11,NULL,5,1,0,0,0,'2009-12-16 06:15:07','Wednesday',1,NULL,NULL,NULL),
(59,'h6b1Zqu1oC0','none','Arnold Presses (standing)',1,1,3,11,NULL,5,1,0,0,0,'2010-01-18 14:55:48','Monday',1,NULL,NULL,NULL),
(60,'601DZCtf6S4','none','Barbell Shoulder Press (seated)',1,1,1,11,NULL,5,1,0,0,0,'2010-01-18 14:50:49','Monday',1,NULL,NULL,NULL),
(61,'Mlmsua2ni5Q','none','Standing Dumbbell Shoulder Press',1,1,1,11,NULL,5,1,0,0,0,'2009-12-04 11:05:19','Friday',1,200,NULL,NULL),
(62,'FHmmYdkFJDU','none','Behind the Head Shoulder Press',1,1,3,11,NULL,5,1,0,0,0,'2011-07-08 18:08:38','Friday',1,NULL,NULL,NULL),
(202,'mf16EUm6Fjw',NULL,'Bent Over Reverse Fly ',NULL,1,1,1,NULL,5,0,NULL,0,0,'2009-12-16 05:51:10','Wednesday',1,391,NULL,NULL),
