+------+-------------+----------+
| id   | exercise_id | phase_id |
| 2325 |         377 |        2 |
| 2324 |         377 |        1 |
| 1404 |         195 |        1 |
| 1405 |         195 |        2 |
| 2328 |         377 |        5 |
| 2327 |         377 |        4 |
| 1409 |         196 |        1 |
| 1410 |         196 |        2 |
| 1411 |         196 |        3 |
| 1412 |         196 |        4 |
| 1413 |         196 |        5 |
| 1414 |         197 |        1 |
| 1415 |         197 |        2 |
| 1416 |         197 |        3 |
| 1417 |         197 |        4 |
| 1418 |         197 |        5 |
| 1419 |         198 |        1 |
| 1420 |         198 |        2 |
| 1421 |         198 |        3 |
| 1422 |         198 |        4 |
| 1423 |         198 |        5 |
| 1424 |         199 |        1 |
| 1425 |         199 |        2 |
| 1426 |         199 |        3 |
| 1427 |         199 |        4 |
| 1428 |         199 |        5 |
| 1430 |         200 |        2 |
| 1431 |         200 |        3 |
| 1432 |         200 |        4 |
| 1433 |         200 |        5 |
| 1435 |         204 |        2 |
| 1436 |         204 |        3 |
| 1437 |         204 |        4 |
| 1438 |         204 |        5 |
| 3060 |         614 |        2 |
| 3059 |         614 |        1 |
| 1445 |         208 |        2 |
| 1446 |         208 |        3 |
| 1447 |         208 |        4 |
| 1448 |         208 |        5 |
| 1450 |         209 |        2 |
| 1451 |         209 |        3 |
| 1452 |         209 |        4 |
| 1453 |         209 |        5 |
| 1455 |         210 |        2 |
| 1456 |         210 |        3 |
| 1460 |         211 |        2 |
| 1461 |         211 |        3 |
| 1464 |         212 |        1 |
| 1465 |         212 |        2 |
| 1466 |         212 |        3 |
| 1467 |         212 |        4 |
| 1468 |         212 |        5 |
| 1469 |         213 |        1 |
| 1470 |         213 |        2 |
| 1471 |         213 |        3 |
| 1472 |         213 |        4 |
| 1473 |         213 |        5 |
| 1475 |         214 |        2 |
| 1476 |         214 |        3 |
| 2316 |         375 |        3 |
| 2314 |         293 |        5 |
| 2313 |         272 |        5 |
| 2312 |         272 |        4 |
| 2311 |         272 |        3 |
| 1489 |         217 |        1 |
| 1494 |         218 |        1 |
| 1495 |         218 |        2 |
| 1496 |         218 |        3 |
| 1497 |         218 |        4 |
| 1498 |         218 |        5 |
| 2192 |          65 |        2 |
| 1500 |         219 |        2 |
| 1501 |         219 |        3 |
| 1502 |         219 |        4 |
| 1503 |         219 |        5 |
| 1504 |         220 |        1 |
| 1505 |         220 |        2 |
| 1506 |         220 |        3 |
| 1507 |         220 |        4 |
| 1508 |         220 |        5 |
| 2239 |         286 |        1 |
| 3134 |         638 |        5 |
| 3133 |         637 |        5 |
