+-----+-------------+----------------+
| id  | exercise_id | musclegroup_id |
| 447 |         393 |             14 |
| 448 |         394 |             14 |
| 449 |         395 |             15 |
| 450 |         396 |             12 |
| 451 |         397 |             14 |
| 452 |         398 |             14 |
| 453 |         399 |             15 |
| 454 |         400 |             18 |
| 456 |         402 |             18 |
| 457 |         403 |             18 |
| 458 |         142 |             21 |
| 459 |         142 |             18 |
| 460 |         404 |             18 |
| 461 |         405 |             18 |
| 462 |         406 |             18 |
| 463 |         407 |             18 |
| 465 |         409 |              1 |
| 466 |         410 |             26 |
| 467 |         411 |             26 |
| 468 |         411 |             25 |
| 469 |         412 |             26 |
| 470 |         413 |             26 |
| 471 |         413 |             15 |
| 472 |         414 |              2 |
| 473 |         415 |             26 |
| 474 |         415 |             25 |
| 475 |         416 |              2 |
| 476 |         417 |              2 |
| 477 |         418 |             11 |
| 479 |         420 |              2 |
| 480 |         421 |              2 |
| 481 |         422 |             14 |
| 482 |         423 |             14 |
| 483 |         424 |             14 |
| 484 |         426 |             18 |
| 485 |         427 |             19 |
| 486 |         432 |             19 |
| 487 |         449 |             21 |
| 488 |         449 |             17 |
| 489 |         449 |             18 |
| 491 |         478 |             15 |
| 492 |         483 |              2 |
| 493 |         484 |              2 |
| 494 |         488 |             21 |
| 495 |         489 |             21 |
| 496 |         490 |             26 |
| 497 |         491 |             25 |
| 498 |         492 |             11 |
| 499 |         493 |             21 |
| 500 |         493 |             18 |
| 501 |         503 |             21 |
| 502 |         503 |             17 |
| 503 |         503 |             18 |
| 504 |         504 |             21 |
| 505 |         504 |             17 |
| 506 |         504 |             18 |
| 507 |         505 |             21 |
| 508 |         505 |             17 |
| 509 |         505 |             18 |
| 510 |         506 |             21 |
| 511 |         506 |             17 |
| 512 |         506 |             18 |
| 513 |         501 |             21 |
| 514 |         501 |             17 |
| 515 |         501 |             18 |
| 516 |         273 |             21 |
| 517 |         273 |             17 |
| 518 |         273 |             18 |
| 519 |         502 |             21 |
| 520 |         502 |             17 |
| 521 |         502 |             18 |
| 522 |         262 |             21 |
| 523 |         262 |             17 |
| 524 |         262 |             18 |
| 659 |         649 |             12 |
| 526 |         508 |             13 |
| 529 |         511 |             13 |
| 530 |         512 |             12 |
| 533 |         513 |             29 |
| 534 |         513 |              1 |
| 537 |         515 |             26 |
| 538 |         515 |             25 |
| 539 |         516 |             26 |
| 540 |         516 |             25 |
| 541 |         517 |             26 |
| 542 |         517 |             25 |
| 543 |         518 |              2 |
| 544 |         522 |              2 |
| 545 |         523 |              2 |
| 546 |         524 |              2 |
| 547 |         525 |              2 |
| 548 |         526 |              2 |
